[2026-08-05T10:36:32.831Z] GET /api/admin/doctors | Status: 304 | IP: 127.0.0.1 | Time: 20ms | Node: MediConsult-Institutional
[2026-08-05T10:36:41.809Z] GET /api/admin/doctor/DOC1004 | Status: 304 | IP: 127.0.0.1 | Time: 32ms | Node: MediConsult-Institutional
[2026-08-05T10:36:41.849Z] GET /api/admin/doctor/DOC1004 | Status: 304 | IP: 127.0.0.1 | Time: 24ms | Node: MediConsult-Institutional
[2026-08-05T10:36:48.998Z] POST /api/admin/doctor/DOC1004/verify | Status: 200 | IP: 127.0.0.1 | Time: 949ms | Node: MediConsult-Institutional
[2026-08-05T10:36:49.061Z] GET /api/admin/doctor/DOC1004 | Status: 200 | IP: 127.0.0.1 | Time: 32ms | Node: MediConsult-Institutional
[2026-08-05T10:37:11.137Z] POST /api/admin/doctor/DOC1004/verify | Status: 200 | IP: 127.0.0.1 | Time: 895ms | Node: MediConsult-Institutional
[2026-08-05T10:37:11.208Z] GET /api/admin/doctor/DOC1004 | Status: 200 | IP: 127.0.0.1 | Time: 40ms | Node: MediConsult-Institutional
[2026-08-05T10:37:48.707Z] GET /api/admin/dashboard-summary | Status: 304 | IP: 127.0.0.1 | Time: 45ms | Node: MediConsult-Institutional
[2026-08-05T10:37:48.767Z] GET /api/admin/dashboard-summary | Status: 304 | IP: 127.0.0.1 | Time: 32ms | Node: MediConsult-Institutional
[2026-08-05T10:38:10.927Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 458ms | Node: MediConsult-Institutional
[2026-08-05T10:43:20.358Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 631ms | Node: MediConsult-Institutional
[2026-08-06T08:14:00.794Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 519ms | Node: MediConsult-Institutional
[2026-08-06T08:14:01.250Z] GET /api/admin/dashboard-summary | Status: 304 | IP: 127.0.0.1 | Time: 64ms | Node: MediConsult-Institutional
[2026-08-06T08:14:01.567Z] GET /api/admin/dashboard-summary | Status: 304 | IP: 127.0.0.1 | Time: 79ms | Node: MediConsult-Institutional
[2026-08-06T08:14:04.434Z] GET /api/admin/doctors | Status: 304 | IP: 127.0.0.1 | Time: 60ms | Node: MediConsult-Institutional
[2026-08-06T08:14:04.739Z] GET /api/admin/doctors | Status: 304 | IP: 127.0.0.1 | Time: 28ms | Node: MediConsult-Institutional
